Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.9341,0.5933333333333334,0.044389027431421445,0.08259860788863109,0.712383294309324
Balanced Logistic Regression,0.7702333333333333,0.17782757711573952,0.6728179551122194,0.2813053904702325,0.7999845447998151
Random Forest,0.8191666666666667,0.2303689687795648,0.7286783042394015,0.35006589193722293,0.8636822393026187
Tuned Random Forest,0.8209333333333333,0.23171314741035856,0.7251870324189527,0.351207729468599,0.8642660984616508
